,english,hindi
0,Naresh_Chandra,नरेश चन्द्रा
1,Ram_Narayan,राम नारायण
2,Man_Mohan_Sharma,मनमोहन शर्मा
3,Kalu_Lal_Shrimali,के॰ एल॰ श्रीमाली
4,Nagendra_Singh,नगेन्द्र सिंह
5,Daulat_Singh_Kothari,दौलत सिंह कोठारी
6,Mohan_Sinha_Mehta,मोहन सिंह मेहता
7,Manikya_Lal_Varma,माणिक्यलाल वर्मा
8,Ghanshyam_Das_Birla,घनश्यामदास बिड़ला
9,Padma_Bhushan,पद्म भूषण
10,Komal_Kothari,कोमल कोठारी
11,Durga_Lal,दुर्गा लाल
12,Jagat_Singh_Mehta,जगत मेहता
13,Ram_Narain_Agarwal,रामनारायण अग्रवाल
14,L._M._Singhvi,लक्ष्मीमल्ल सिंघवी
15,Natwar_Singh,नटवर सिंह
16,Bhogilal_Pandya,भोगीलाल पांड्या
